102101A,16333
104001A,14380
105101A,13528
105102A,14123
105105A,15868
107001B,16319
108002A,15763
108003A,15549
112002A,13705
112102A,15377
113004A,16707
116006B,15342
116010A,18834
116011A,18255
116012A,18501
116013A,18332
116014A,18428
116015A,16659
121001A,13153
122004A,14389
126003A,14173
136202D,17141
136203A,16138
136208A,16050
137101A,16569
137201A,15863
138004B,13783
138009A,13913
138010A,13790
138113A,14888
143009A,18284
143110A,14833
143303A,22339
145010A,17033
145011A,16962
145018A,15294
145101D,14632
145107A,14416
146010A,18220
146012A,15495
146014A,15053
146095A,15181
204034,14972
206014,21252
206018,18925
208007,22506
208009,22556
210006,22478
210011,22528
211008,15126
212209,15446
212260,15603
215002,15614
215004,21852
216002,18788
216004,15416
218001,15306
219001,22444
221207,14937
221210,13263
222206,21210
222213,18749
223202,21168
224206,20164
224213A,13562
224214A,13525
225020A,18622
225110A,12591
225219,15246
226220,18938
226222,13760
226407,18262
227225A,14930
227226,14186
227227,14085
229650A,10700
229661A,11897
230210,14790
231213,18127
235205,18608
236213,15397
238208,21226
302214,12259
304497,17617
304499,17505
305202,13791
307473,17530
308145,21581
308799,11499
312061,22353
314207,17786
314213,16271
315450,18058
318076,22630
401009,22541
401012,16273
401015,13772
401203,22261
401208,16873
401210,21468
401212,21062
401216,22263
401217,14749
402204,16285
402206,13279
402213,14506
402217,14535
403209A,13680
403213A,13934
403214,18436
403217,14543
403221,17184
403222,15930
403226,16346
403232,13198
404207,18837
405205,22296
405209,22067
405215,13808
405217,13421
405218,19891
405219,16072
405226,13527
405227,15089
405238,14278
405245,15128
405248,14800
405251,13936
405263,13367
405264,13416
405274,12631
406208,21198
406213,13095
406214,14250
406224,13339
407214,21008
407215,13297
407220,19846
407230,13877
407253,15420
408200,16573
408202,16470
410057,20175
410061,22500
410705,22530
410730,17989
410731,17195
410734,16822
410761,13803
412028,22196
412050,15760
412066,19036
415207,14076
415226,14843
415237,12776
416003,12398
416008,15055
418005,15099
418014,15304
419005,14630
422202B,22527
422306A,22449
422313B,14083
422319B,15790
422321B,14200
422334A,15841
422394A,14392
424002,13329
424201A,16466
604053,19954
606001,13437
606002,10195
606185,12914
607155,18738
608002,13460
610008,12689
613002,15468
613146,18764
614044,20902
616002,16041
616013,14598
616065,21319
803003,11598
804001,16060
809310,15630
912101A,15602
912105A,16191
915011A,14119
917107A,16083
919003A,16099
919201A,14468
919309A,16291
922101B,16294
925001A,19782
926002A,15072
A0020101,16659
A0030501,14337
A2390519,14864
A2390523,14103
A2390531,12954
A5030502,15858
A5040517,11048
A5040523,12553
A5050517,12823
A5130501,14951
G0010005,16641
G0050115,13576
G0060005,13149
G8110004,18041
G8110016,14039
G8140001,18432
G8140040,15596
G8140161,14214
G8150018,16529
G8170002,17341
G8190001,12240
G8200045,18920
G8210010,15043
G9030124,12986
G9030250,16329
G9070142,16684
